id|titolo|autore|anno|synopsis|collocazione
61|"Il barone rampante"|"Calvino, Italo"|1957|"Il giovane barone Cosimo Piovasco di Rondò, per protesta contro il padre, decide di salire su un albero e di non scendere mai più. Da lì, vivrà una vita piena di avventure, di amori e di incontri, partecipando alla storia del suo tempo senza mai toccare terra. Un romanzo fantastico e filosofico, che è un inno alla libertà, alla coerenza e alla ricerca di un punto di vista originale sul mondo. Il secondo capitolo della trilogia ""I nostri antenati""."|Letteratura - Opere 853.91 CAL
62|"Il sentiero dei nidi di ragno"|"Calvino, Italo"|1947|"La Resistenza partigiana vista attraverso gli occhi di un bambino, Pin. Un romanzo d'esordio neorealista, ma con un tocco fiabesco e lirico che è già tipico di Calvino. La guerra non è un'epopea eroica, ma un'avventura confusa e a tratti grottesca, vissuta da un gruppo di uomini imperfetti e marginali. Un libro che racconta la guerra senza retorica, e che ci mostra la difficoltà di crescere in un mondo di adulti incomprensibile."|Letteratura - Opere 853.91 CAL
63|"Le città invisibili"|"Calvino, Italo"|1972|"Marco Polo racconta all'imperatore Kublai Kan le città che ha visitato durante i suoi viaggi. Ma le città che descrive non sono città reali, sono città immaginarie, città della memoria, del desiderio, dei segni. Un'opera poetica e filosofica, che è una riflessione sul linguaggio, sulla comunicazione e sulla complessità del mondo. Un libro-gioiello, da leggere e rileggere per scoprire ogni volta nuovi significati."|Letteratura - Opere 853.91 CAL
64|"Se una notte d'inverno un viaggiatore"|"Calvino, Italo"|1979|"Tu, il Lettore, inizi a leggere un romanzo di Italo Calvino, ""Se una notte d'inverno un viaggiatore"", ma per un errore di stampa, la storia si interrompe. Inizia così una caccia al libro perduto, che ti porterà a leggere l'inizio di altri dieci romanzi, di generi e stili diversi. Un romanzo sul piacere della lettura, un gioco metaletterario geniale e divertente, che coinvolge il lettore in prima persona e lo rende protagonista dell'avventura."|Letteratura - Opere 853.91 CAL
65|"Cent'anni di solitudine"|"García Márquez, Gabriel"|1982|"La saga della famiglia Buendía nel villaggio immaginario di Macondo. Cent'anni di storia, di amori, di guerre, di incesti e di solitudine, in un'atmosfera dove il reale e il magico si fondono continuamente. Un'opera epica e visionaria, che ha inventato il ""realismo magico"" e che ha consacrato Gabriel García Márquez come uno dei più grandi scrittori del Novecento. Un capolavoro assoluto, che è un viaggio indimenticabile nell'immaginario latinoamericano."|Letteratura - Opere 863 GAR
66|"L'amore ai tempi del colera"|"García Márquez, Gabriel"|1986|"Florentino Ariza e Fermina Daza si amano da giovani, ma lei decide di sposare un uomo più ricco e prestigioso. Florentino le giura amore eterno e la aspetta per più di cinquant'anni. Una storia d'amore epica e struggente, che sfida il tempo, la vecchiaia e la morte. Un romanzo che celebra la tenacia del sentimento e che ci regala una delle più belle e commoventi storie d'amore della letteratura mondiale."|Letteratura - Opere 863 GAR
67|"Cronaca di una morte annunciata"|"García Márquez, Gabriel"|1982|"In un piccolo paese dei Caraibi, tutti sanno che i fratelli Vicario uccideranno Santiago Nasar per vendicare l'onore della sorella. Eppure, nessuno fa nulla per impedirlo. Un romanzo breve, costruito come un'inchiesta giornalistica, che ricostruisce le ore precedenti al delitto. Un meccanismo narrativo perfetto, che esplora i temi del destino, dell'onore e della responsabilità collettiva. Un capolavoro di suspense e di scrittura."|Letteratura - Opere 863 GAR
68|1984|"Orwell, George"|1984|"In un futuro distopico, il mondo è diviso in tre superstati totalitari. In Oceania, il Partito, guidato dal Grande Fratello, controlla ogni aspetto della vita dei cittadini, anche i pensieri. Winston Smith, un impiegato del Partito, cerca di ribellarsi. Un romanzo profetico e agghiacciante, che è una critica feroce ai totalitarismi e una riflessione sul potere, sulla propaganda e sulla libertà. Un classico intramontabile, più attuale che mai."|Letteratura - Opere 823.91 ORW
69|"La fattoria degli animali"|"Orwell, George"|1995|"Gli animali di una fattoria, stanchi dello sfruttamento dell'uomo, si ribellano e prendono il potere, con la speranza di creare una società più giusta ed egualitaria. Ma ben presto, i maiali, più intelligenti e astuti, si trasformano in una nuova classe di tiranni. Una potente allegoria della Rivoluzione russa e della degenerazione del comunismo. Un libro semplice ma geniale, che ci mette in guardia contro ogni forma di potere assoluto."|Letteratura - Opere 823.91 ORW
70|"Il signore delle mosche"|"Golding, William"|1980|"Un gruppo di ragazzi inglesi, sopravvissuti a un incidente aereo, si ritrova su un'isola deserta. All'inizio, cercano di organizzarsi in modo civile, ma ben presto la loro convivenza degenera in una lotta selvaggia per il potere, e la vernice della civiltà si sgretola, lasciando emergere gli istinti più brutali. Un romanzo sconvolgente, che esplora il lato oscuro della natura umana. Un classico del Novecento, premio Nobel per la letteratura."|Letteratura - Opere 823.91 GOL
71|"Il giovane Holden"|"Salinger, J. D."|1961|"Holden Caulfield, un adolescente irrequieto e sensibile, viene espulso dall'ennesima scuola e decide di vagare per New York per un paio di giorni, prima di tornare a casa. Un romanzo che racconta la crisi, la rabbia e la confusione dell'adolescenza. La voce di Holden, cinica, divertente e disperata, ha conquistato generazioni di lettori e ha reso questo libro un cult assoluto."|Letteratura - Opere 813.5 SAL
72|"Fahrenheit 451"|"Bradbury, Ray"|1966|"In un futuro distopico, i libri sono proibiti e i pompieri hanno il compito di bruciarli. Montag, un pompiere, inizia a dubitare del suo lavoro e a leggere di nascosto. Un romanzo che è un inno alla lettura, alla cultura e al pensiero critico, e una potente denuncia contro la censura e l'omologazione. Un classico della fantascienza, che ci ricorda l'importanza di difendere la libertà di espressione."|FANTASCIENZA BRA
73|"Cronache marziane"|"Bradbury, Ray"|1994|"Una raccolta di racconti che narrano la colonizzazione di Marte da parte dei terrestri. Ma non è un'epopea eroica: è una storia di incomprensioni, di nostalgia, di solitudine e di distruzione. Un'opera poetica e malinconica, che usa la fantascienza per riflettere sulla natura umana, sul colonialismo e sulla perdita dell'innocenza. Un capolavoro di Ray Bradbury, che unisce la fantasia alla critica sociale."|FANTASCIENZA BRA
74|"La strada"|"McCarthy, Cormac"|2007|"In un mondo post-apocalittico, un padre e un figlio viaggiano a piedi verso sud, in cerca di salvezza. Attraversano un paesaggio desolato e pericoloso, spinti solo dall'amore reciproco e dalla speranza di trovare ""i buoni"". Un romanzo potente, scarno e commovente, che racconta l'orrore e la bellezza della condizione umana. Un capolavoro della letteratura contemporanea, che ha vinto il Premio Pulitzer."|Letteratura - Opere 813.5 MCC
75|"L'amica geniale"|"Ferrante, Elena"|2011|"La storia di un'amicizia lunga sessant'anni tra due donne, Elena e Lila, nate e cresciute in un rione popolare di Napoli. Un legame complesso, fatto di affetto, di rivalità, di invidia e di sostegno reciproco. Il primo volume di una tetralogia che ha conquistato il mondo, e che è un affresco potente della storia italiana e della condizione femminile. Un caso letterario internazionale, avvolto dal mistero sull'identità dell'autrice."|Letteratura - Opere 853.92 FER
76|"Il buio oltre la siepe"|"Lee, Harper"|2011|"In una piccola città del sud degli Stati Uniti, negli anni '30, l'avvocato Atticus Finch difende un uomo di colore accusato ingiustamente di aver violentato una donna bianca. La storia è raccontata attraverso gli occhi di sua figlia, Scout. Un romanzo che parla di razzismo, di giustizia e di coraggio morale. Un classico della letteratura americana, che ha vinto il Premio Pulitzer e che è un potente messaggio di tolleranza e di umanità."|Letteratura - Opere 813.5 LEE
77|"Orgoglio e pregiudizio"|"Austen, Jane"|2013|"La storia della famiglia Bennet e delle sue cinque figlie da maritare. La protagonista, Elizabeth, è una giovane donna intelligente e spiritosa, che si scontra con l'orgoglioso e ricco Mr. Darcy. Un romanzo che, con ironia e acume, critica la società inglese di inizio Ottocento, le sue convenzioni e il ruolo della donna. Uno dei più grandi e amati classici della letteratura mondiale, una storia d'amore indimenticabile."|Letteratura - Opere 823.7 AUS
78|"Cime tempestose"|"Brontë, Emily"|2013|"La storia d'amore tormentata e distruttiva tra Catherine Earnshaw e Heathcliff, un trovatello accolto in casa dal padre di lei. Un romanzo gotico, selvaggio e passionale, ambientato nelle brughiere dello Yorkshire. Un'opera unica e potente, che esplora le profondità più oscure dell'animo umano: l'amore, l'odio, la vendetta, la follia. Un classico della letteratura inglese, che ha sconvolto i lettori dell'epoca e che continua ad affascinare."|Letteratura - Opere 823.8 BRO
79|"Jane Eyre"|"Brontë, Charlotte"|2013|"La storia di Jane Eyre, un'orfana che, dopo un'infanzia difficile, diventa istitutrice a Thornfield Hall e si innamora del suo misterioso e tormentato datore di lavoro, Mr. Rochester. Un romanzo di formazione che racconta la lotta di una donna per la sua indipendenza, la sua dignità e il suo diritto all'amore. Un classico del romanticismo inglese, che ha creato una delle più grandi eroine della letteratura."|Letteratura - Opere 823.8 BRO
80|Frankenstein|"Shelley, Mary"|1994|"Victor Frankenstein, un giovane scienziato, riesce a creare la vita, ma rimane inorridito dalla sua creatura e la abbandona. Il mostro, solo e rifiutato da tutti, cerca vendetta. Un romanzo gotico e filosofico, che è considerato il precursore della fantascienza. Un'opera che riflette sui limiti della scienza, sulla responsabilità e sulla natura del bene e del male. Un classico intramontabile."|Letteratura - Opere 823.7 SHE
81|"Il ritratto di Dorian Gray"|"Wilde, Oscar"|1995|"Dorian Gray è un giovane di straordinaria bellezza. Un pittore gli fa un ritratto, e Dorian esprime il desiderio di rimanere per sempre giovane e bello, mentre il quadro invecchia al suo posto. Il desiderio si avvera, e Dorian si abbandona a una vita di vizi e di piaceri, senza subirne le conseguenze fisiche. Un romanzo che è una critica all'estetismo e una riflessione sulla bellezza, sulla morale e sulla corruzione dell'anima. Un capolavoro di Oscar Wilde."|Letteratura - Opere 823.8 WIL
82|"Delitto e castigo"|"Dostoevskij, Fëdor M."|1995|"Raskolnikov, uno studente povero di San Pietroburgo, elabora la teoria secondo cui gli uomini ""straordinari"" hanno il diritto di commettere crimini per il bene superiore. Decide quindi di uccidere una vecchia usuraia. Un romanzo psicologico profondo e avvincente, che esplora i temi della colpa, del castigo, della redenzione e della fede. Un capolavoro della letteratura russa e mondiale."|Letteratura - Opere 891.73 DOS
83|"Guerra e pace"|"Tolstoj, Lev N."|1995|"Un affresco epico della società russa durante le guerre napoleoniche. Le vicende di due grandi famiglie nobili, i Bolkonskij e i Rostov, si intrecciano con i grandi eventi storici, dalla battaglia di Austerlitz all'incendio di Mosca. Un romanzo che è insieme una saga familiare, un romanzo storico, un trattato filosofico e un'opera di straordinaria potenza narrativa. Uno dei più grandi capolavori della letteratura di tutti i tempi."|Letteratura - Opere 891.73 TOL
84|"Anna Karenina"|"Tolstoj, Lev N."|1995|"Anna Karenina è una donna bellissima e sposata, che si innamora perdutamente dell'ufficiale Vronskij e decide di abbandonare la famiglia per vivere la sua passione. La sua storia si intreccia con quella di Levin, un proprietario terriero che cerca un senso nella vita, nel lavoro e nell'amore. Un romanzo che è un ritratto magistrale della società russa dell'Ottocento e un'analisi profonda e spietata dell'amore, del matrimonio e dell'ipocrisia sociale."|Letteratura - Opere 891.73 TOL
85|"Il maestro e Margherita"|"Bulgakov, Michail"|1995|"Negli anni '30, a Mosca, arriva il diavolo, sotto le spoglie di un mago di nome Woland, insieme al suo seguito di demoni. La loro presenza sconvolge la vita della città e si intreccia con la storia d'amore tra il Maestro, uno scrittore perseguitato dal regime, e la sua amata Margherita. Un romanzo fantastico, satirico, filosofico e romantico, che è una critica feroce alla burocrazia e all'ateismo sovietico. Un capolavoro della letteratura del Novecento."|Letteratura - Opere 891.73 BUL
86|"Don Chisciotte della Mancia"|"Cervantes Saavedra, Miguel de"|2005|"Alonso Quijano, un nobile di campagna, legge troppi romanzi cavallereschi e impazzisce, decidendo di diventare un cavaliere errante con il nome di Don Chisciotte. Insieme al suo scudiero, il contadino Sancho Panza, vive una serie di avventure comiche e surreali. Il primo romanzo moderno, un'opera che è una parodia della letteratura cavalleresca, ma anche una profonda riflessione sulla follia, sull'idealismo e sul rapporto tra realtà e finzione."|Letteratura - Opere 863.3 CER
87|"Moby Dick"|"Melville, Herman"|1993|"La storia della caccia ossessiva del capitano Achab alla balena bianca Moby Dick, che in un viaggio precedente gli ha strappato una gamba. La narrazione è affidata a Ismaele, un marinaio a bordo della baleniera Pequod. Un romanzo che è insieme un'avventura marinaresca, un'enciclopedia sulla caccia alle balene e una profonda allegoria sulla lotta tra l'uomo e la natura, tra il bene e il male, tra la ragione e la follia. Un capolavoro della letteratura americana."|Letteratura - Opere 813.3 MEL
88|"Le avventure di Huckleberry Finn"|"Twain, Mark"|2000|"Huckleberry Finn, per fuggire da un padre violento e da una società ipocrita, scappa lungo il fiume Mississippi su una zattera, insieme a Jim, uno schiavo fuggiasco. Un romanzo di avventura che è anche una potente denuncia del razzismo e un inno alla libertà. La voce di Huck, ingenua e anticonformista, ci offre un ritratto indimenticabile dell'America dell'Ottocento. Un classico della letteratura per ragazzi e non solo."|Letteratura - Opere 813.4 TWA
89|"L'isola del tesoro"|"Stevenson, Robert Louis"|1995|"Il giovane Jim Hawkins trova la mappa del tesoro del famigerato pirata Flint e si imbarca sulla nave Hispaniola per andare a cercarlo. Ma a bordo si nascondono i vecchi compagni di Flint, guidati dal carismatico e ambiguo Long John Silver. Il romanzo d'avventura per eccellenza, una storia di pirati, di ammutinamenti, di tesori nascosti e di coraggio, che ha affascinato generazioni di lettori."|Letteratura - Opere 823.8 STE
90|Siddharta|"Hesse, Hermann"|1975|"Siddharta, figlio di un bramino, abbandona la casa paterna per cercare l'illuminazione. Intraprende un lungo viaggio, che lo porterà a diventare un asceta, un ricco mercante, un barcaiolo, fino a raggiungere la saggezza sulle rive di un fiume. Un romanzo di formazione spirituale, che unisce la filosofia occidentale alla sapienza orientale. Un libro che ha avuto un'enorme influenza sulla cultura giovanile e che è un invito alla ricerca interiore."|Letteratura - Opere 833.91 HES
91|"Lo straniero"|"Camus, Albert"|1947|"Meursault, un impiegato di Algeri, vive la sua vita con indifferenza, senza provare emozioni. Un giorno, su una spiaggia assolata, uccide un arabo ""a causa del sole"". Durante il processo, verrà giudicato non tanto per il suo crimine, quanto per la sua ""estraneità"" alle convenzioni sociali. Il romanzo manifesto dell'esistenzialismo e della filosofia dell'assurdo. Un'opera che ci interroga sul senso della vita e sulla natura della giustizia umana."|Letteratura - Opere 843.91 CAM
92|La peste|"Camus, Albert"|1993|"Nella città di Orano, in Algeria, scoppia un'epidemia di peste. La città viene messa in quarantena, e i cittadini sono costretti a confrontarsi con la malattia, la morte e la paura. Un'allegoria della condizione umana e della lotta contro il male, ma anche un'esaltazione della solidarietà e dell'impegno civile. Un romanzo di grande attualità, che ci ricorda l'importanza di rimanere umani anche nelle situazioni più estreme."|Letteratura - Opere 843.91 CAM
93|"La nausea"|"Sartre, Jean-Paul"|1990|"Antoine Roquentin, uno storico, vive una profonda crisi esistenziale. Si sente travolto dalla ""Nausea"", un senso di disgusto e di angoscia di fronte all'esistenza gratuita e contingente delle cose e di se stesso. Il romanzo manifesto dell'esistenzialismo ateo di Sartre. Un'opera filosofica densa e complessa, che esplora i temi della libertà, della responsabilità e dell'assurdità dell'esistenza."|Letteratura - Opere 843.91 SAR
94|"Alla ricerca del tempo perduto"|"Proust, Marcel"|1990|"Un'opera monumentale in sette volumi, che racconta la vita del narratore e la sua ricerca del passato attraverso il meccanismo della memoria involontaria, innescata da sensazioni casuali (come il sapore di una madeleine). Un'analisi psicologica profonda e minuziosa, un affresco della società aristocratica e borghese della Belle Époque e una riflessione sull'arte, sull'amore, sulla gelosia e sul tempo. Uno dei vertici della letteratura mondiale."|Letteratura - Opere 843.91 PRO
95|Viaggio al termine della notte|"Céline, Louis-Ferdinand"|1992|"Il racconto delle peregrinazioni di Ferdinand Bardamu, dalla Prima Guerra Mondiale all'Africa coloniale, dagli Stati Uniti alla periferia di Parigi. Un romanzo nichilista e disperato, che denuncia la crudeltà, la stupidità e l'ipocrisia del genere umano. Un'opera che ha rivoluzionato il linguaggio letterario, con uno stile parlato, violento e gergale. Un capolavoro controverso e disturbante, ma di una potenza espressiva senza pari."|Letteratura - Opere 843.91 CEL
96|"Il deserto dei Tartari"|"Buzzati, Dino"|1979|"Il giovane tenente Giovanni Drogo viene assegnato alla Fortezza Bastiani, un avamposto ai confini del deserto, da cui si attende l'arrivo dei nemici, i Tartari. La sua vita trascorre in un'attesa vana e monotona, che consuma i suoi sogni e la sua giovinezza. Un'allegoria della condizione umana, dell'attesa, della speranza e della delusione. Un capolavoro della letteratura del Novecento, che ci interroga sul senso della nostra esistenza."|Letteratura - Opere 853.91 BUZ
97|"Il mondo nuovo"|"Huxley, Aldous"|1991|"In un futuro apparentemente perfetto, la società è divisa in caste, la riproduzione avviene in laboratorio, i sentimenti sono aboliti e la felicità è garantita da una droga, il soma. Ma un ""selvaggio"", cresciuto in una riserva, metterà in crisi questo mondo ordinato. Una distopia profetica, che critica il consumismo, il conformismo e il totalitarismo tecnologico. Un classico della fantascienza, più attuale che mai."|Letteratura - Opere 823.91 HUX
98|"Le correzioni"|"Franzen, Jonathan"|2002|"La storia della famiglia Lambert, che si riunisce per l'ultimo Natale. Alfred, il padre, soffre di Parkinson e di demenza. Enid, la madre, cerca disperatamente di tenere unita la famiglia. I tre figli, Gary, Chip e Denise, sono alle prese con le loro vite fallimentari. Un grande romanzo americano, che è un ritratto spietato e ironico della famiglia, della società e delle nevrosi contemporanee. Un'opera complessa e ambiziosa, che ha consacrato Franzen come uno dei più importanti scrittori americani."|Letteratura - Opere 813.5 FRA
99|"Pastorale americana"|"Roth, Philip"|1998|"Seymour ""lo Svedese"" Levov ha avuto tutto dalla vita: è bello, ricco, un atleta famoso e ha sposato una reginetta di bellezza. Ma la sua vita perfetta viene distrutta quando sua figlia, Merry, diventa una terrorista anti-Vietnam e compie un attentato. Un romanzo che racconta il crollo del sogno americano e la fine delle certezze di un'intera generazione. Un capolavoro della letteratura contemporanea, che ha vinto il Premio Pulitzer."|Letteratura - Opere 813.5 ROT
100|"L'insostenibile leggerezza dell'essere"|"Kundera, Milan"|1985|"A Praga, durante la Primavera del 1968, si intrecciano le storie di quattro personaggi: Tomas, un chirurgo donnaiolo; Tereza, sua moglie, fotografa; Sabina, un'artista, amante di Tomas; Franz, un professore, amante di Sabina. Un romanzo filosofico e poetico, che riflette sulla contrapposizione tra leggerezza e pesantezza, tra caso e necessità, tra amore e sesso. Un'opera che unisce la narrazione, la saggistica e la riflessione politica, e che è diventata un cult internazionale."|Letteratura - Opere 891.863 KUN
101|ELP|"Manzini, Antonio"|2022|"Un furgone portavalori della ditta di sicurezza privata ELP viene rapinato. L'autista, ucciso. Il blindato, aperto e svuotato. Un colpo da professionisti, pulito e audace. Rocco Schiavone, costretto a indagare in un ambiente che non gli appartiene, quello della sicurezza privata e dei soldi, si muove tra sospetti e false piste. Ma la verità si nasconde dietro una facciata di normalità, e per trovarla dovrà affrontare i suoi demoni personali e la corruzione che si annida nel cuore della società."|GIALLI MAN
102|La mala stagione|"Manzini, Antonio"|2022|"In questo nuovo romanzo, la neve di Aosta è implacabile e il freddo penetra nelle ossa. Ma non è solo il clima a essere rigido. Un omicidio efferato sconvolge la città: una giovane donna viene trovata morta, vittima di una violenza inaudita. Rocco Schiavone, sempre più insofferente e tormentato, deve fare i conti con un'indagine complessa e con un dolore antico che riaffiora. La ""mala stagione"" non è solo quella meteorologica, ma anche quella dell'anima."|GIALLI MAN
103|"Vecchie conoscenze"|"Manzini, Antonio"|2021|"L'omicidio di un professore di liceo in pensione, trovato morto nel suo appartamento, sembra un caso di routine. Ma quando Rocco Schiavone inizia a indagare, scopre che la vittima aveva molti segreti e nemici. Il passato del professore si intreccia con quello di persone insospettabili, e Schiavone si ritrova a scavare in vecchie storie di rancore e vendetta. Le ""vecchie conoscenze"" non sono solo quelle della vittima, ma anche quelle che il vicequestore si porta dentro, fantasmi di un passato che non lo abbandona mai."|GIALLI MAN
104|"Gli ultimi giorni di quiete"|"Manzini, Antonio"|2020|"Un cold case riemerge dal passato, portando Rocco Schiavone a confrontarsi con i fantasmi della sua vita romana. La richiesta di aiuto di un vecchio amico lo costringe a tornare nei luoghi che aveva cercato di dimenticare, e a fare i conti con un'indagine che lo tocca da vicino. La quiete, per Schiavone, è solo un'illusione, un momento effimero prima della tempesta. E la tempesta, questa volta, potrebbe essere devastante."|GIALLI MAN
105|"Ah l'amore l'amore"|"Manzini, Antonio"|2020|"L'amore, per Rocco Schiavone, è una complicazione, un fastidio, una fonte di dolore. Eppure, è proprio l'amore, o meglio, la sua assenza, il motore di questa nuova indagine. Una donna scompare nel nulla, e il vicequestore deve capire se si tratta di un allontanamento volontario o di qualcosa di più sinistro. Tra mariti traditi, amanti segreti e bugie, Schiavone si muove con il suo solito cinismo, ma forse, sotto la corazza, si nasconde ancora la capacità di provare un'emozione."|GIALLI MAN
106|"Rien ne va plus"|"Manzini, Antonio"|2019|"Il casinò di Saint-Vincent è il teatro di un'indagine ad alta tensione. Un croupier viene trovato morto, e i sospetti si concentrano su un mondo di gioco d'azzardo, debiti e riciclaggio di denaro. Rocco Schiavone, che detesta il gioco e chi ci lucra sopra, si muove in questo ambiente con fastidio, ma con la sua consueta abilità investigativa. ""Rien ne va plus"", la frase che ferma il gioco, segna anche la fine della vita per qualcuno, e l'inizio di un nuovo, intricato caso per il vicequestore."|GIALLI MAN
107|"Fate il vostro gioco"|"Manzini, Antonio"|2018|"Un uomo si suicida, o almeno così sembra. Ma Rocco Schiavone non ci crede. Troppe cose non tornano. L'indagine lo porta nel mondo oscuro del gioco d'azzardo online, delle dipendenze e delle truffe. Mentre cerca di svelare la verità, Schiavone deve anche fare i conti con i suoi problemi personali e con un'inchiesta interna che minaccia di travolgerlo. ""Fate il vostro gioco"" è un invito a scoprire le carte, ma in questa partita, la posta in gioco è la vita."|GIALLI MAN
108|"Pulvis et umbra"|"Manzini, Antonio"|2017|"Sinopsis no disponible."|GIALLI MAN
109|7-7-2007|"Manzini, Antonio"|2016|"Il 7 luglio 2007 è una data che ha segnato per sempre la vita di Rocco Schiavone. È il giorno della morte di sua moglie, Marina. In questo romanzo, Manzini ci porta indietro nel tempo, a quella tragica estate romana, e ci svela i dettagli dell'attentato che ha cambiato tutto. Un'indagine nel cuore del dolore, un viaggio nella memoria di un uomo ferito, che cerca ancora, a distanza di anni, di dare un senso a una perdita insopportabile."|GIALLI MAN
110|"Cinque indagini romane per Rocco Schiavone"|"Manzini, Antonio"|2016|"Una raccolta di cinque racconti che ci portano nella Roma di Rocco Schiavone, prima del suo trasferimento ad Aosta. Cinque casi brevi ma intensi, che ci mostrano il vicequestore alle prese con la criminalità della capitale, con la sua squadra e con i fantasmi del suo passato. Un'occasione per conoscere meglio il personaggio e il suo mondo, e per apprezzare la scrittura tagliente e ironica di Antonio Manzini."|GIALLI MAN
111|"Non è stagione"|"Manzini, Antonio"|2015|"La primavera arriva ad Aosta, ma per Rocco Schiavone non è stagione di rinascita. La scomparsa di una ragazza lo coinvolge in un'indagine delicata e angosciante, che lo porterà a scontrarsi con il lato oscuro della provincia. Il rapimento, la richiesta di riscatto, la disperazione della famiglia: Schiavone si muove in un terreno minato, cercando di salvare una vita e, forse, anche un pezzo della sua anima."|GIALLI MAN
112|"Era di maggio"|"Manzini, Antonio"|2015|"Maggio è il mese delle rose, ma per Rocco Schiavone è il mese del sangue. Un omicidio lo costringe a interrompere una breve vacanza e a tornare ad Aosta, dove lo attende un caso complesso e pieno di false piste. La vittima è una donna dal passato misterioso, e per scoprire la verità, Schiavone dovrà scavare nei segreti di una comunità solo apparentemente tranquilla. Un'indagine che si intreccia con i tormenti personali del vicequestore, sempre in bilico tra giustizia e vendetta."|GIALLI MAN
113|"Pista nera"|"Manzini, Antonio"|2013|"Il primo romanzo della serie di Rocco Schiavone. Il vicequestore, appena trasferito da Roma ad Aosta, si trova a indagare su un omicidio avvenuto sulle piste da sci di Champoluc. Un uomo viene trovato morto, schiacciato da un gatto delle nevi. Schiavone, che odia la montagna, la neve e il freddo, deve fare i conti con un ambiente ostile e con un caso che si rivela più complicato del previsto. Un esordio folgorante, che ha introdotto uno dei personaggi più amati del giallo italiano."|GIALLI MAN
114|"La costola di Adamo"|"Manzini, Antonio"|2014|"Una donna viene trovata impiccata in casa. Sembra un suicidio, ma Rocco Schiavone non è convinto. L'indagine lo porta nel mondo della violenza domestica, delle bugie e dei segreti familiari. Schiavone, con il suo solito mix di cinismo e umanità, cerca di dare voce a una vittima che non può più parlare, e di fare giustizia in un mondo dove spesso la giustizia è cieca. Un romanzo duro e toccante, che affronta un tema difficile con grande sensibilità."|GIALLI MAN
115|"Le prime indagini di Rocco Schiavone"|"Manzini, Antonio"|2022|"Questa raccolta contiene le prime avventure di Rocco Schiavone, originariamente pubblicate in diverse antologie. Un'occasione per scoprire le origini del personaggio, il suo modo di indagare e il suo rapporto con la città di Roma, prima del trasferimento forzato ad Aosta. Storie brevi ma fulminanti, che mettono in luce la genialità e le contraddizioni di uno dei detective più originali e amati del panorama letterario italiano."|GIALLI MAN
116|"Il girotondo delle iene"|"De Marco, Cinzia"|2019|"Un delitto efferato scuote la tranquillità di un piccolo paese. L'ispettore Marco Canepa, un uomo dal passato tormentato, si trova a indagare in un ambiente dove tutti si conoscono e dove l'omertà è la regola. Le iene del titolo sono le persone che si nutrono del dolore altrui, che sparlano, che giudicano. Canepa dovrà fare i conti con loro e con i propri demoni per trovare la verità, in un crescendo di tensione che terrà il lettore con il fiato sospeso fino all'ultima pagina."|GIALLI DE
117|"Villa Glicine"|"Sveva, Casati Modignani"|2022|"Villa Glicine è una splendida dimora affacciata sul lago, ma dietro la sua facciata elegante si nascondono segreti, passioni e tradimenti. La storia di una famiglia, i De Angeli, e di tre generazioni di donne che si confrontano con l'amore, il dolore e le scelte difficili. Un romanzo corale, ricco di emozioni e colpi di scena, che ci trasporta in un mondo di lusso e sentimenti, dove nulla è come sembra."|NARRATIVA SVE
118|"Segreti e ipocrisie"|"Sveva, Casati Modignani"|2019|"Una grande saga familiare ambientata nella Milano bene. La storia di quattro amiche, unite da un legame profondo ma anche da segreti inconfessabili. Le loro vite si intrecciano tra amori, matrimoni, carriere e tradimenti, in un affresco della società contemporanea. Un romanzo che esplora i sentimenti umani con la consueta maestria dell'autrice, e che ci mostra come, dietro le apparenze, si nascondano spesso ipocrisie e verità nascoste."|NARRATIVA SVE
119|"La moglie magica"|"Sveva, Casati Modignani"|2004|"Una donna, dopo la morte del marito, scopre di non averlo mai conosciuto veramente. Inizia così un viaggio alla ricerca della verità, che la porterà a scoprire un mondo di segreti, bugie e passioni nascoste. Un romanzo che parla di amore, di rinascita e della forza delle donne, capaci di reinventarsi e di trovare la felicità anche dopo un grande dolore. Una storia avvincente e commovente, che celebra il coraggio e la magia di essere donna."|NARRATIVA SVE
120|Il falco|"Sveva, Casati Modignani"|2007|"Un uomo potente e affascinante, soprannominato ""il Falco"", domina il mondo della finanza. Ma la sua vita cambia quando incontra una donna che riesce a tenergli testa e a rubargli il cuore. Una storia d'amore travolgente, ambientata tra Milano, New York e la campagna toscana. Un romanzo che unisce passione, intrighi finanziari e sentimenti, e che ci mostra come anche l'uomo più duro possa essere vulnerabile di fronte all'amore."|NARRATIVA SVE
121|"Dieci e lode"|"Sveva, Casati Modignani"|2012|"La storia di una giovane insegnante precaria, che lotta per realizzare il suo sogno e per trovare il suo posto nel mondo. Un romanzo che parla di scuola, di amore, di amicizia e delle difficoltà dei giovani di oggi. Con la sua scrittura scorrevole e coinvolgente, Sveva Casati Modignani ci regala un ritratto realistico e pieno di speranza della società italiana, e ci ricorda l'importanza di credere nei propri sogni, nonostante tutto."|NARRATIVA SVE
